source_entity_id,reference_value,status,classification,deferred_domain,reason
DRV-001,OS Graphics Subsystem,rejected,invalid_related_entity,,"Appears to represent: Broad operating-system graphics capability. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. An overly broad architectural phrase rather than a stable entity; retain concrete driver and OS entities."
DRV-001,DirectX Runtime,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
DRV-001,Vulkan Runtime,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
DRV-001,PCI Express Interface,external,valid_external_concept,,"Appears to represent: Industry interface / bus standard. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. An industry interface referenced by several driver categories; it is meaningful context but does not require a Domain Layer node. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
DRV-001,UEFI GOP,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-001,Display Manager,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-001,GPU Firmware,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-001,Kernel Mode Setting,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-002,OS Audio Subsystem,rejected,invalid_related_entity,,"Appears to represent: Broad operating-system audio capability. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. An overly broad architectural phrase rather than a stable entity; retain the concrete Audio Driver relationship instead."
DRV-002,HD Audio Controller,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
DRV-002,USB Audio Class,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-002,Audio DSP Firmware,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-002,PCI Express Interface,external,valid_external_concept,,"Appears to represent: Industry interface / bus standard. Registry search: No exact canonical, normalized canonical, exact alias, or normalized alias match. An industry interface referenced by several driver categories; it is meaningful context but does not require a Domain Layer node. Provisional interpretation was external, but it cannot be recommended without authoritative verification."
DRV-002,Kernel Streaming,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-002,WASAPI,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
DRV-002,Audio Endpoint Manager,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
