source_entity_id,reference_value,status,classification,deferred_domain,reason
DRV-001,OS Graphics Subsystem,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
DRV-001,DirectX Runtime,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
DRV-001,Vulkan Runtime,deferred,future_domain_entity,Software Runtime,Concept belongs to the planned Software Runtime domain.
DRV-001,PCI Express Interface,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
DRV-001,UEFI GOP,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-001,Display Manager,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-001,GPU Firmware,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-001,Kernel Mode Setting,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-002,OS Audio Subsystem,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
DRV-002,HD Audio Controller,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
DRV-002,USB Audio Class,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-002,Audio DSP Firmware,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-002,PCI Express Interface,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
DRV-002,Kernel Streaming,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-002,WASAPI,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
DRV-002,Audio Endpoint Manager,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-003,PCI Express Interface,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
DRV-003,USB Controller Driver,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
DRV-003,Management Engine Interface,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
DRV-003,IOMMU,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
DRV-003,Power Management Subsystem,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
DRV-004,OS Network Stack,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
DRV-004,Network Access Control Agent,deferred,future_domain_entity,Networking,Concept belongs to the planned Networking domain.
DRV-004,VPN Agent,deferred,future_domain_entity,Networking,Concept belongs to the planned Networking domain.
DRV-004,Firewall Driver,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-004,PCI Express Interface,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
DRV-004,USB Controller Driver,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
DRV-004,Wake-on-LAN,deferred,future_domain_entity,Networking,Concept belongs to the planned Networking domain.
DRV-005,OS Storage Stack,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-005,Volume Manager,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-005,Full Disk Encryption,rejected,overly_broad_reference,,The reference is too broad for a stable staging edge.
DRV-005,TCG Opal,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
DRV-005,RAID Controller,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
DRV-005,StorPort,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-005,SCSI,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
DRV-005,PCI Express Interface,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
DRV-005,USB Controller Driver,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
DRV-005,Boot Critical Driver,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-005,File System Driver,external,valid_external_concept,,Valid technical concept not required as a Domain Layer v1.1 entity.
DRV-006,WHQL,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
FW-001,MBR,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
FW-001,POST,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
FW-001,CMOS,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-001,CSM,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
FW-001,Hardware Abstraction Layer,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-002,SMBIOS,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
FW-002,CSM,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
FW-003,Battery Management System,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-003,Thermal Management Subsystem,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-003,USB Power Delivery Controller,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-003,Platform Power Management,requires_human_review,requires_human_review,,"The value is meaningful but may represent a capability, relationship phrase, or future entity."
FW-004,SATA Controller,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-004,Storage Controller Driver,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-004,Self-Encrypting Drive,deferred,future_domain_entity,Hardware,Concept belongs to the planned Hardware domain.
FW-004,TCG Opal,external,valid_external_concept,,"Meaningful standard, interface, format, or platform facility outside the five entity domains."
